woj,area,population,density
Dolnośląskie,19947,2909997,146
Kujawsko-pomorskie,17972,2092564,116
Lubelskie,25122,2156150,86
Lubuskie,13988,1021470,73
Łódzkie,18219,2513093,138
Małopolskie,15183,3360581,221
Mazowieckie,35558,5316840,150
Opolskie,9412,1004416,107
Podkarpackie,17846,2129294,119
Podlaskie,20187,1194965,59
Pomorskie,18310,2295811,125
Śląskie,12333,4599447,373
Świętokrzyskie,11711,1268239,108
Warmińsko-mazurskie,24173,1446915,60
Wielkopolskie,29826,3467016,116
Zachodniopomorskie,22892,1718861,75